FIRST_NAME;LAST_NAME;COMPANY;POSITION;BIOGRAPHY;WEBSITE;CITY;COUNTRY;AVAILABILITY;EXPERIENCE_YEARS;HOURLY_RATE;DAILY_RATE;SKILLS_GENERAL;SKILLS_TECH;SKILLS_SOFT;AWARDS;CERTIFICATIONS;STATUS
Thorsten;Butz;IT-Trainer;M365 / Azure / Modern Work;M365 / Azure / Modern Work bei IT-Trainer. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;;;;available;;;;M365, Azure, Modern Work;M365, Azure, Modern Work;Präsentation, Kommunikation;Microsoft MVP;;active
Anna-Theresa;Korbutt;Hamburg Transport (HHA);ÖPNV / Keynote;ÖPNV / Keynote bei Hamburg Transport (HHA). Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://www.it-trans.org/;;;available;;;;ÖPNV, Keynote;ÖPNV, Keynote;Präsentation, Kommunikation;;;active
Martin;Kagerbauer;KIT;Verkehrsplanung;Verkehrsplanung bei KIT. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://www.kit.edu/;;;available;;;;Verkehrsplanung;Verkehrsplanung;Präsentation, Kommunikation;;;active
Alexander;Pischon;KVV;ÖPNV-Management;ÖPNV-Management bei KVV. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://www.it-trans.org/;;;available;;;;ÖPNV-Management;ÖPNV-Management;Präsentation, Kommunikation;;;active
Natalie;Rodriguez;Hamburger Hochbahn;Innovation & Strategie;Innovation & Strategie bei Hamburger Hochbahn. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://www.it-trans.org/;;;available;;;;Innovation & Strategie;Innovation & Strategie;Präsentation, Kommunikation;;;active
Venkat;Subramaniam;Agile Developer Inc.;Java / Agile Development;Java / Agile Development bei Agile Developer Inc.. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://www.javaland.eu/;;;available;;;;Java, Agile Development;Java, Agile Development;Präsentation, Kommunikation;Java Champion;;active
Patrick;Baumgartner;;Java Development;Java Development. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://www.javaland.eu/;;;available;;;;Java Development;Java Development;Präsentation, Kommunikation;;;active
Bruno;Borges;;Java Development;Java Development. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://www.javaland.eu/;;;available;;;;Java Development;Java Development;Präsentation, Kommunikation;;;active
Richard J.;Simoncic;Microchip Technology;IoT / AI Keynote;IoT / AI Keynote bei Microchip Technology. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://www.embedded-world.de/;;;available;;;;IoT, AI Keynote;IoT, AI Keynote;Präsentation, Kommunikation;;;active
Stefan;Finkbeiner;Bosch Sensortec;Sensor Technology / IoT;Sensor Technology / IoT bei Bosch Sensortec. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://www.embedded-world.de/;;;available;;;;Sensor Technology, IoT;Sensor Technology, IoT;Präsentation, Kommunikation;;;active
Daniel;Müller-Gritschneder;TU Wien;Embedded Systems;Embedded Systems bei TU Wien. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://www.embedded-world.de/;;;available;;;;Embedded Systems;Embedded Systems;Präsentation, Kommunikation;;;active
Axel;Sikora;HS Offenburg;Embedded Systems;Embedded Systems bei HS Offenburg. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://www.embedded-world.de/;;;available;;;;Embedded Systems;Embedded Systems;Präsentation, Kommunikation;;;active
Easen;Ho;Vantron Technology;Embedded / IoT;Embedded / IoT bei Vantron Technology. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://www.embedded-world.de/;;;available;;;;Embedded, IoT;Embedded, IoT;Präsentation, Kommunikation;;;active
Gregor;Kuznik;;Global Information Security Officer / Zero Trust;Global Information Security Officer / Zero Trust. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://www.we-conect.com/;;;available;;;;Global Information Security Officer, Zero Trust;Global Information Security Officer, Zero Trust;Präsentation, Kommunikation;;;active
Klaus;Bauer;;Head of Research / Cloud Security;Head of Research / Cloud Security. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://www.we-conect.com/;;;available;;;;Head of Research, Cloud Security;Head of Research, Cloud Security;Präsentation, Kommunikation;;;active
Klaus;Klingner;;Information Security Officer;Information Security Officer. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://www.we-conect.com/;;;available;;;;Information Security Officer;Information Security Officer;Präsentation, Kommunikation;;;active
Louis;Servin;;Enterprise Security Architecture;Enterprise Security Architecture. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://www.we-conect.com/;;;available;;;;Enterprise Security Architecture;Enterprise Security Architecture;Präsentation, Kommunikation;;;active
Pascal;Reiniger;;CISO / Ransomware Defense;CISO / Ransomware Defense. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://www.we-conect.com/;;;available;;;;CISO, Ransomware Defense;CISO, Ransomware Defense;Präsentation, Kommunikation;;;active
Pierre-Alain;Mouy;;Cybersecurity in Space / Quantum;Cybersecurity in Space / Quantum. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;;;;available;;;;Cybersecurity in Space, Quantum;Cybersecurity in Space, Quantum;Präsentation, Kommunikation;;;active
Moritz;Mayer;A1 Digital;IT Security Solutions;IT Security Solutions bei A1 Digital. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;;;;available;;;;IT Security Solutions;IT Security Solutions;Präsentation, Kommunikation;;;active
Ralf;Wintergerst;Giesecke+Devrient / Bitkom;Digital Transformation / Bitkom-Präsident;Digital Transformation / Bitkom-Präsident bei Giesecke+Devrient / Bitkom. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;;;;available;;;;Digital Transformation, Bitkom-Präsident;Digital Transformation, Bitkom-Präsident;Präsentation, Kommunikation;;;active
Brittany;Kaiser;Own Your Data;Digital Rights / Data Privacy;Digital Rights / Data Privacy bei Own Your Data. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://www.cloudfest.com/;;;available;;;;Digital Rights, Data Privacy;Digital Rights, Data Privacy;Präsentation, Kommunikation;;;active
Sebastian;Schreiber;SySS GmbH;Cybersecurity / Penetration Testing;Cybersecurity / Penetration Testing bei SySS GmbH. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://www.syss.de/;;;available;;;;Cybersecurity, Penetration Testing;Cybersecurity, Penetration Testing;Präsentation, Kommunikation;;;active
Radia;Perlman;Internet Pioneer;Internet Infrastructure / Networking;Internet Infrastructure / Networking bei Internet Pioneer. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://www.cloudfest.com/;;;available;;;;Internet Infrastructure, Networking;Internet Infrastructure, Networking;Präsentation, Kommunikation;;;active
Bernd;Schlömer;CIO Sachsen-Anhalt;Digitale Verwaltung;Digitale Verwaltung bei CIO Sachsen-Anhalt. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://kommdigitale.de/;;;available;;;;Digitale Verwaltung;Digitale Verwaltung;Präsentation, Kommunikation;;;active
Alexander;Handschuh;DStGB;Kommunale Digitalisierung;Kommunale Digitalisierung bei DStGB. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://kommdigitale.de/;;;available;;;;Kommunale Digitalisierung;Kommunale Digitalisierung;Präsentation, Kommunikation;;;active
Ludmilla;Middecke;Stadt Bielefeld;eGovernment-Strategie;eGovernment-Strategie bei Stadt Bielefeld. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://kommdigitale.de/;;;available;;;;eGovernment-Strategie;eGovernment-Strategie;Präsentation, Kommunikation;;;active
Detlef;Bäumer;PICTURE GmbH;Prozessmanagement / Change;Prozessmanagement / Change bei PICTURE GmbH. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://kommdigitale.de/;;;available;;;;Prozessmanagement, Change;Prozessmanagement, Change;Präsentation, Kommunikation;;;active
Oliver;Kreth;Ceyoniq;Digital Transformation / DMS;Digital Transformation / DMS bei Ceyoniq. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://www.ceyoniq.com/;;;available;;;;Digital Transformation, DMS;Digital Transformation, DMS;Präsentation, Kommunikation;;;active
Robert;Wander;E-Government Consulting;Verwaltungsdigitalisierung;Verwaltungsdigitalisierung bei E-Government Consulting. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://kommdigitale.de/;;;available;;;;Verwaltungsdigitalisierung;Verwaltungsdigitalisierung;Präsentation, Kommunikation;;;active
Matthias;Blatz;Heidelberg iT Management;AI / Data Center;AI / Data Center bei Heidelberg iT Management. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://www.ai-conference.de/;;;available;;;;AI, Data Center;AI, Data Center;Präsentation, Kommunikation;;;active
Dona;Sarkar;Microsoft;Microsoft Copilot;Microsoft Copilot bei Microsoft. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;;;;available;;;;Microsoft Copilot;Microsoft Copilot;Präsentation, Kommunikation;Microsoft;;active
Kevin;McDonnell;;Microsoft Technologies;Microsoft Technologies. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;;;;available;;;;Microsoft Technologies;Microsoft Technologies;Präsentation, Kommunikation;MVP;;active
Zoe;Wilson;;Microsoft Technologies;Microsoft Technologies. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;;;;available;;;;Microsoft Technologies;Microsoft Technologies;Präsentation, Kommunikation;MVP;;active
Sara;Fennah;;Microsoft Governance;Microsoft Governance. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;;;;available;;;;Microsoft Governance;Microsoft Governance;Präsentation, Kommunikation;MVP;;active
Raphael;Köllner;;Microsoft Technologies;Microsoft Technologies. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;;;;available;;;;Microsoft Technologies;Microsoft Technologies;Präsentation, Kommunikation;MVP;;active
Vesa;Nopanen;;Microsoft Technologies;Microsoft Technologies. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;;;;available;;;;Microsoft Technologies;Microsoft Technologies;Präsentation, Kommunikation;MVP;;active
Pieter;Op de Beéck;;Microsoft Technologies;Microsoft Technologies. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;;;;available;;;;Microsoft Technologies;Microsoft Technologies;Präsentation, Kommunikation;MVP;;active
Keith;Atherton;;Power Platform Architecture;Power Platform Architecture. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;;;;available;;;;Power Platform Architecture;Power Platform Architecture;Präsentation, Kommunikation;MVP;;active
Scott;Durow;Microsoft;Power Platform / Vibe Engineering;Power Platform / Vibe Engineering bei Microsoft. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;;;;available;;;;Power Platform, Vibe Engineering;Power Platform, Vibe Engineering;Präsentation, Kommunikation;;;active
Marthe;Moengen;;Microsoft Fabric / Power BI;Microsoft Fabric / Power BI. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;;;;available;;;;Microsoft Fabric, Power BI;Microsoft Fabric, Power BI;Präsentation, Kommunikation;;;active
Emilie;Rønning;;Microsoft Fabric / Data;Microsoft Fabric / Data. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;;;;available;;;;Microsoft Fabric, Data;Microsoft Fabric, Data;Präsentation, Kommunikation;;;active
Kathrin;Borchert;;Power BI & Fabric Administration;Power BI & Fabric Administration. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;;;;available;;;;Power BI & Fabric Administration;Power BI & Fabric Administration;Präsentation, Kommunikation;MVP;;active
Cedrik;Neike;Siemens AG;Industrial Automation / AI;Industrial Automation / AI bei Siemens AG. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://www.siemens.com/;;;available;;;;Industrial Automation, AI;Industrial Automation, AI;Präsentation, Kommunikation;;;active
Armin;Papperger;Rheinmetall;Defense & Technology;Defense & Technology bei Rheinmetall. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://www.hannovermesse.de/;;;available;;;;Defense & Technology;Defense & Technology;Präsentation, Kommunikation;;;active
Amy;Webb;Future Today Institute;Technology Trends / AI;Technology Trends / AI bei Future Today Institute. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://amywebb.io/;;;available;;;;Technology Trends, AI;Technology Trends, AI;Präsentation, Kommunikation;;;active
Julie;Sweet;Accenture;Organizational Transformation / AI;Organizational Transformation / AI bei Accenture. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://www.accenture.com/;;;available;;;;Organizational Transformation, AI;Organizational Transformation, AI;Präsentation, Kommunikation;;;active
Pablo;Erat;On AG / LightSpray;Industrial Technology;Industrial Technology bei On AG / LightSpray. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://www.hannovermesse.de/;;;available;;;;Industrial Technology;Industrial Technology;Präsentation, Kommunikation;;;active
Emma;Saroyan;;Open Source Community Building;Open Source Community Building. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://2026.pgconf.de/;;;available;;;;Open Source Community Building;Open Source Community Building;Präsentation, Kommunikation;;;active
Valeria;Kaplan;;PostgreSQL Contributions;PostgreSQL Contributions. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://2026.pgconf.de/;;;available;;;;PostgreSQL Contributions;PostgreSQL Contributions;Präsentation, Kommunikation;;;active
Jan;Wieremjewicz;;PostgreSQL / Legacy Systems;PostgreSQL / Legacy Systems. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://2026.pgconf.de/;;;available;;;;PostgreSQL, Legacy Systems;PostgreSQL, Legacy Systems;Präsentation, Kommunikation;;;active
Chris;Engelbert;;PostgreSQL / Async I/O;PostgreSQL / Async I/O. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://2026.pgconf.de/;;;available;;;;PostgreSQL, Async I, O;PostgreSQL, Async I, O;Präsentation, Kommunikation;;;active
Dirk;Krautschick;;Database Performance;Database Performance. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://2026.pgconf.de/;;;available;;;;Database Performance;Database Performance;Präsentation, Kommunikation;;;active
David;Matusiewicz;FOM University;Healthcare Management / Digital Health;Healthcare Management / Digital Health bei FOM University. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://www.dmea.de/;;;available;;;;Healthcare Management, Digital Health;Healthcare Management, Digital Health;Präsentation, Kommunikation;;;active
Kristina;Sinemus;;Digital Infrastructure;Digital Infrastructure. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://www.dmea.de/;;;available;;;;Digital Infrastructure;Digital Infrastructure;Präsentation, Kommunikation;;;active
Louisa;Specht-Riemenschneider;;Digital Health / Datenschutz;Digital Health / Datenschutz. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://www.dmea.de/;;;available;;;;Digital Health, Datenschutz;Digital Health, Datenschutz;Präsentation, Kommunikation;;;active
Nina;Ruge;Moderation;Media / Health Communication;Media / Health Communication bei Moderation. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://www.dmea.de/;;;available;;;;Media, Health Communication;Media, Health Communication;Präsentation, Kommunikation;;;active
Noël;Funke;Hackers4Good;Cybersecurity / Ethical Hacking;Cybersecurity / Ethical Hacking bei Hackers4Good. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://cybersecuritysumm.it/;;;available;;;;Cybersecurity, Ethical Hacking;Cybersecurity, Ethical Hacking;Präsentation, Kommunikation;;;active
Chris;Müller;Ratepay;Cybersecurity / FinTech;Cybersecurity / FinTech bei Ratepay. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://cybersecuritysumm.it/;;;available;;;;Cybersecurity, FinTech;Cybersecurity, FinTech;Präsentation, Kommunikation;;;active
Dennis Kim;Schmidt;Dataport AöR;Public Sector IT Security;Public Sector IT Security bei Dataport AöR. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://cybersecuritysumm.it/;;;available;;;;Public Sector IT Security;Public Sector IT Security;Präsentation, Kommunikation;;;active
Markus;Engelke;Munich Re;Enterprise Cybersecurity;Enterprise Cybersecurity bei Munich Re. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://cybersecuritysumm.it/;;;available;;;;Enterprise Cybersecurity;Enterprise Cybersecurity;Präsentation, Kommunikation;;;active
Tom;Brady;;Business / Entrepreneurship;Business / Entrepreneurship. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://omr.com/;;;available;;;;Business, Entrepreneurship;Business, Entrepreneurship;Präsentation, Kommunikation;;;active
Scott;Galloway;NYU Stern;Business Analysis / Tech;Business Analysis / Tech bei NYU Stern. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://omr.com/;;;available;;;;Business Analysis, Tech;Business Analysis, Tech;Präsentation, Kommunikation;;;active
Christian;Sewing;Deutsche Bank;Finance / Banking;Finance / Banking bei Deutsche Bank. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://omr.com/;;;available;;;;Finance, Banking;Finance, Banking;Präsentation, Kommunikation;;;active
Will;Ahmed;Whoop;Sports Technology;Sports Technology bei Whoop. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://omr.com/;;;available;;;;Sports Technology;Sports Technology;Präsentation, Kommunikation;;;active
Bettina;Orlopp;Commerzbank;Finance / Banking;Finance / Banking bei Commerzbank. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://omr.com/;;;available;;;;Finance, Banking;Finance, Banking;Präsentation, Kommunikation;;;active
Grant;LaFontaine;Whatnot;Live Shopping / E-Commerce;Live Shopping / E-Commerce bei Whatnot. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://omr.com/;;;available;;;;Live Shopping, E-Commerce;Live Shopping, E-Commerce;Präsentation, Kommunikation;;;active
Leonardo;Aizpuru;Nespresso;Marketing / Brand;Marketing / Brand bei Nespresso. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://omr.com/;;;available;;;;Marketing, Brand;Marketing, Brand;Präsentation, Kommunikation;;;active
Laura;Nestler;;Community Building;Community Building. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://omr.com/;;;available;;;;Community Building;Community Building;Präsentation, Kommunikation;;;active
Nikki;Chapple;;M365 / Governance;M365 / Governance. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://collabsummit.eu/;;;available;;;;M365, Governance;M365, Governance;Präsentation, Kommunikation;Microsoft MVP;;active
Mark;Rackley;;M365 / Copilot;M365 / Copilot. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://collabsummit.eu/;;;available;;;;M365, Copilot;M365, Copilot;Präsentation, Kommunikation;Microsoft MVP;;active
Andrew;Connell;;M365 / Copilot;M365 / Copilot. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://collabsummit.eu/;;;available;;;;M365, Copilot;M365, Copilot;Präsentation, Kommunikation;Microsoft MVP;;active
Feiyu;Xu;Amber Iris AI / Uni Digital Science;AI Research / Industry;AI Research / Industry bei Amber Iris AI / Uni Digital Science. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://riseof.ai/;;;available;;;;AI Research, Industry;AI Research, Industry;Präsentation, Kommunikation;;;active
Hans;Uszkoreit;;AI Research / NLP;AI Research / NLP. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://riseof.ai/;;;available;;;;AI Research, NLP;AI Research, NLP;Präsentation, Kommunikation;;;active
Tina;Klüwer;;Conversational AI;Conversational AI. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://riseof.ai/;;;available;;;;Conversational AI;Conversational AI;Präsentation, Kommunikation;;;active
Antonio;Krüger;DFKI;AI Research / HCI;AI Research / HCI bei DFKI. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://www.dfki.de/;;;available;;;;AI Research, HCI;AI Research, HCI;Präsentation, Kommunikation;;;active
Rasmus;Rothe;Merantix AG;AI Startups / Deep Learning;AI Startups / Deep Learning bei Merantix AG. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://riseof.ai/;;;available;;;;AI Startups, Deep Learning;AI Startups, Deep Learning;Präsentation, Kommunikation;;;active
Jürgen;Schmidhuber;KAUST / NNAISENSE;AI Research / Neural Networks;AI Research / Neural Networks bei KAUST / NNAISENSE. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://riseof.ai/;;;available;;;;AI Research, Neural Networks;AI Research, Neural Networks;Präsentation, Kommunikation;;;active
Marcus;Schuler;F.A.Z. / implicator.ai;Technology Journalism;Technology Journalism bei F.A.Z. / implicator.ai. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://www.techshowfrankfurt.de/;;;available;;;;Technology Journalism;Technology Journalism;Präsentation, Kommunikation;;;active
Petya;Dasheva;;Data Strategy / Human-Centered Analytics;Data Strategy / Human-Centered Analytics. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://www.techshowfrankfurt.de/;;;available;;;;Data Strategy, Human-Centered Analytics;Data Strategy, Human-Centered Analytics;Präsentation, Kommunikation;;;active
Carsten;Bange;BARC;Data Analytics / BI / AI;Data Analytics / BI / AI bei BARC. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://www.techshowfrankfurt.de/;;;available;;;;Data Analytics, BI, AI;Data Analytics, BI, AI;Präsentation, Kommunikation;;;active
Miriam;Meckel;;Communication / Technology;Communication / Technology. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://www.techshowfrankfurt.de/;;;available;;;;Communication, Technology;Communication, Technology;Präsentation, Kommunikation;;;active
Lina;Böcker;;Datenschutz / IT-Recht / AI-Regulierung;Datenschutz / IT-Recht / AI-Regulierung. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://www.datenschutzkongress.de/;;;available;;;;Datenschutz, IT-Recht, AI-Regulierung;Datenschutz, IT-Recht, AI-Regulierung;Präsentation, Kommunikation;;;active
Dagmar;Hartge;LfDI Brandenburg;Datenschutzpolitik;Datenschutzpolitik bei LfDI Brandenburg. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://www.datenschutzkongress.de/;;;available;;;;Datenschutzpolitik;Datenschutzpolitik;Präsentation, Kommunikation;;;active
